Kernel,C,Gamma,Degree,Train Accuracy,Test Accuracy
Poly,0.1,0.001,1,0.7691292875989446,0.9
Poly,0.1,0.0001,1,0.7559366754617414,0.9
Poly,0.1,1e-05,1,0.6503957783641161,0.7
Poly,0.1,1e-06,1,0.6503957783641161,0.7
Poly,0.1,0.001,2,0.7783641160949868,0.8
Poly,0.1,0.0001,2,0.7717678100263852,0.9
Poly,0.1,1e-05,2,0.662269129287599,0.7
Poly,0.1,1e-06,2,0.6503957783641161,0.7
Poly,1,0.001,1,0.7664907651715039,0.9
Poly,1,0.0001,1,0.7691292875989446,0.9
Poly,1,1e-05,1,0.7559366754617414,0.9
Poly,1,1e-06,1,0.6503957783641161,0.7
Poly,1,0.001,2,0.7862796833773087,0.9
Poly,1,0.0001,2,0.7717678100263852,0.8
Poly,1,1e-05,2,0.7506596306068601,0.9
Poly,1,1e-06,2,0.6503957783641161,0.7
Poly,10,0.001,1,0.7691292875989446,0.9
Poly,10,0.0001,1,0.7664907651715039,0.9
Poly,10,1e-05,1,0.7691292875989446,0.9
Poly,10,1e-06,1,0.7559366754617414,0.9
Poly,10,0.001,2,0.7889182058047494,0.9
Poly,10,0.0001,2,0.7783641160949868,0.8
Poly,10,1e-05,2,0.7730870712401056,0.9
Poly,10,1e-06,2,0.662269129287599,0.7
Poly,100,0.001,1,0.7717678100263852,0.9
Poly,100,0.0001,1,0.7691292875989446,0.9
Poly,100,1e-05,1,0.7664907651715039,0.9
Poly,100,1e-06,1,0.7691292875989446,0.9
Poly,100,0.001,2,0.7862796833773087,0.9
Poly,100,0.0001,2,0.7862796833773087,0.9
Poly,100,1e-05,2,0.7717678100263852,0.8
Poly,100,1e-06,2,0.7506596306068601,0.9
Poly,1000.0,0.001,1,0.7704485488126649,0.9
Poly,1000.0,0.0001,1,0.7717678100263852,0.9
Poly,1000.0,1e-05,1,0.7691292875989446,0.9
Poly,1000.0,1e-06,1,0.7664907651715039,0.9
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
Poly,10000.0,0.001,1,0.7770448548812665,0.9
Poly,10000.0,0.0001,1,0.7717678100263852,0.9
Poly,10000.0,1e-05,1,0.7717678100263852,0.9
Poly,10000.0,1e-06,1,0.7691292875989446,0.9
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
Poly,100000.0,0.001,1,0.7770448548812665,0.9
Poly,100000.0,0.0001,1,0.7823218997361477,0.9
Poly,100000.0,1e-05,1,0.7704485488126649,0.9
Poly,100000.0,1e-06,1,0.7717678100263852,0.9
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
None,0,0,0,0,0
Sigmoid,0.1,0.001,,0.6503957783641161,0.7
Sigmoid,0.1,0.0001,,0.6147757255936676,0.7
Sigmoid,0.1,1e-05,,0.6503957783641161,0.7
Sigmoid,0.1,1e-06,,0.6503957783641161,0.7
Sigmoid,1,0.001,,0.6411609498680739,0.7
Sigmoid,1,0.0001,,0.420844327176781,0.3
Sigmoid,1,1e-05,,0.7255936675461742,0.9
Sigmoid,1,1e-06,,0.6503957783641161,0.7
Sigmoid,10,0.001,,0.6424802110817942,0.7
